reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
K-0001,Acadia National Park,44.3386,-68.2731,FN54ui,US-ME,180,142,4358,0,0
K-0002,Alagnak Wild River National Park,59.0908,-156.463,BO19sc,US-AK,0,0,0,0,0
K-0003,Aniakchak National Preserve,56.8075,-157.83,BO16ct,US-AK,0,0,0,0,0
K-0004,Arches National Park,38.6166,-109.62,DM58eo,US-UT,49,39,1851,0,0
K-0005,Badlands National Park,43.8555,-102.339,DN83tu,US-SD,75,70,2760,0,0
K-0006,Big Bend National Park,29.1287,-103.232,DL89jd,US-TX,63,56,2666,0,1
K-0007,Biscayne Bay National Park,25.4643,-80.3353,EL95tl,US-FL,17,16,1113,0,0
K-0008,Black Canyon of the Gunnison National Park,38.5762,-107.731,DM68dn,US-CO,21,19,666,0,0
K-0009,Bryce Canyon National Park,37.5945,-112.159,DM37wo,US-UT,42,35,1241,0,0
K-0010,Canyonlands National Park,38.3301,-109.826,DM58ch,US-UT,33,28,991,0,0
K-0011,Capitol Reef National Park,38.3712,-111.209,DM48ji,US-UT,23,20,829,0,0
K-0012,Carlsbad Caverns National Park,32.1754,-104.444,DM72se,US-NM,30,27,1343,0,0
K-0013,Chaco Culture National Historical Park,36.053,-107.956,DM66ab,US-NM,16,14,770,0,0
K-0014,Channel Islands National Park,34.0026,-119.731,DM04da,US-CA,28,13,347,0,0
K-0015,Chesapeake and Ohio Canal National Historical Park,39.6007,-77.8265,FM19co,"US-DC,US-MD,US-WV",289,284,8838,0,0
K-0016,Colonial National Historical Park,37.2305,-76.5025,FM17rf,US-VA,84,79,3514,0,0
K-0017,Congaree National Park,33.8432,-80.8289,EM93ou,US-SC,85,83,3380,0,0
K-0018,Crater Lake National Park,42.87,-122.144,CN82wu,US-OR,37,29,929,0,0
K-0019,Cumberland Gap National Historical Park,36.6038,-83.6741,EM86do,"US-KY,US-TN,US-VA",48,46,1941,0,0
K-0020,Cuyahoga Valley National Park,41.2628,-81.5585,EN91fg,US-OH,345,330,10003,0,0
